No.,CUSTOMER_GROUP,CusName,Model,PartNo,PartName,GROUP_NAME,Surface,BeatName,DIAMETER1,DIAMETER2,THICKNESS,LENGTH,OperName,01/2025_PCS,01/2025_Wgt,02/2025_PCS,02/2025_Wgt,03/2025_PCS,03/2025_Wgt,04/2025_PCS,04/2025_Wgt,05/2025_PCS,05/2025_Wgt,06/2025_PCS,06/2025_Wgt,07/2025_PCS,07/2025_Wgt,08/2025_PCS,08/2025_Wgt,09/2025_PCS,09/2025_Wgt,10/2025_PCS,10/2025_Wgt,11/2025_PCS,11/2025_Wgt,12/2025_PCS,12/2025_Wgt,Forecast Date,NoCol,ItemNo
1,HONDA,CIC,,,,HSST590C,C,Khong,22.2,0.0,1.4,5580.0,P/E,,,395.0,1583.0,395.0,1583.0,739.0,2961.0,600.0,2404.0,642.0,2572.0,687.0,2752.0,600.0,2404.0,766.0,3069.0,689.0,2760.0,616.0,2468.0,,,2024-12-19,0,0.0
2,HONDA,CIC,,,,STAM290GA,P,Co,15.0,10.3,2.35,5700.0,P/E,,,341.0,1425.0,341.0,1425.0,639.0,2670.0,518.0,2164.0,555.0,2319.0,593.0,2478.0,518.0,2164.0,661.0,2762.0,595.0,2486.0,532.0,2223.0,,,2024-12-19,0,0.0
3,HONDA,CIC,,,,STAM390G,C,Khong,22.2,0.0,1.2,5570.0,P/E,,,441.0,1525.0,441.0,1525.0,826.0,2857.0,671.0,2321.0,718.0,2484.0,768.0,2656.0,671.0,2321.0,856.0,2961.0,771.0,2667.0,688.0,2380.0,,,2024-12-19,0,0.0
4,HONDA,CIC,,,,STAM390G,P,Khong,25.4,0.0,3.2,5460.0,P/E,1092.0,10446.0,1538.0,14712.0,1200.0,11479.0,1306.0,12493.0,1613.0,15430.0,1613.0,15430.0,1594.0,15248.0,1675.0,16023.0,1588.0,15191.0,2013.0,19256.0,1394.0,13335.0,,,2024-12-19,0,0.0
5,HONDA,CIC,,,,STAM390G,P,Co,34.0,0.0,2.6,5850.0,P/E,,,284.0,3344.0,222.0,2614.0,242.0,2850.0,298.0,3509.0,298.0,3509.0,295.0,3474.0,310.0,3651.0,294.0,3462.0,372.0,4381.0,258.0,3038.0,,,2024-12-19,0,0.0
6,HONDA,CIC,,,,STKM-HT590,P,Khong,25.4,0.0,3.2,5750.0,P/E,,,26.0,262.0,13.0,131.0,13.0,131.0,23.0,232.0,29.0,292.0,26.0,262.0,26.0,262.0,29.0,292.0,32.0,322.0,26.0,262.0,,,2024-12-19,0,0.0
7,HONDA,CIC1,"K2CA, K1NA",,,STAM290GA,P,Co,15.0,10.3,2.35,5700.0,P/E,,,386.0,1613.0,378.0,1579.0,420.0,1755.0,380.0,1588.0,398.0,1663.0,455.0,1901.0,428.0,1788.0,475.0,1985.0,538.0,2248.0,459.0,1918.0,,,2024-12-19,0,0.0
8,HONDA,CIC1,,,,STAM290GA,P,Khong,19.1,0.0,2.3,5520.0,P/E,,,19.0,100.0,22.0,116.0,,,,,,,,,,,,,,,,,,,2024-12-19,0,0.0
9,HONDA,CIC1,K56,,,STAM290GA,P,Co,21.7,16.5,2.6,5400.0,P/E,,,83.0,549.0,74.0,490.0,73.0,483.0,59.0,390.0,28.0,185.0,57.0,377.0,14.0,93.0,1.0,7.0,,,,,,,2024-12-19,0,0.0
10,HONDA,CIC1,K2ZA/K3AA,,,STAM290GA,P,Khong,22.2,0.0,2.0,5900.0,P/E,508.0,2985.0,494.0,2903.0,405.0,2380.0,412.0,2421.0,417.0,2450.0,429.0,2521.0,474.0,2785.0,404.0,2374.0,476.0,2797.0,411.0,2415.0,98.0,576.0,,,2024-12-19,0,0.0
11,OTHER,CIC1,HONDA USA,,,STAM390G,P,Khong,12.7,0.0,2.0,5400.0,P/E,250.0,713.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
12,OTHER,CIC1,HONDA USA,,,STAM390G,P,Khong,12.7,0.0,2.0,5800.0,P/E,100.0,306.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
13,HONDA,CIC1,K2ZA/K3AA,,,STAM390G,P,Khong,15.9,0.0,1.6,5830.0,P/E,651.0,2141.0,790.0,2598.0,649.0,2134.0,659.0,2167.0,667.0,2193.0,686.0,2256.0,759.0,2496.0,647.0,2127.0,762.0,2506.0,657.0,2160.0,156.0,513.0,,,2024-12-19,0,0.0
14,HONDA,CIC1,K56,,,STAM390G,P,Khong,15.9,0.0,2.0,5500.0,P/E,,,172.0,649.0,154.0,581.0,151.0,570.0,122.0,460.0,59.0,223.0,118.0,445.0,29.0,109.0,1.0,4.0,,,,,,,2024-12-19,0,0.0
15,HONDA,CIC1,,,,STAM390G,P,Khong,17.3,0.0,1.6,5580.0,P/E,,,880.0,3040.0,861.0,2974.0,957.0,3305.0,865.0,2988.0,906.0,3129.0,1037.0,3582.0,975.0,3368.0,1082.0,3737.0,1224.0,4228.0,1046.0,3613.0,,,2024-12-19,0,0.0
16,HONDA,CIC1,,,,STAM390G,C,Khong,19.1,0.0,1.2,5510.0,P/E,3472.0,10139.0,3881.0,11334.0,3061.0,8939.0,3085.0,9009.0,3801.0,11100.0,3817.0,11147.0,3741.0,10925.0,3934.0,11488.0,3784.0,11050.0,4744.0,13854.0,3386.0,9888.0,,,2024-12-19,0,0.0
17,HONDA,CIC1,,,,STAM390G,P,Khong,19.1,0.0,1.4,5550.0,P/E,676.0,2292.0,1354.0,4591.0,1085.0,3679.0,1140.0,3866.0,1395.0,4731.0,1396.0,4734.0,1402.0,4754.0,1448.0,4910.0,1390.0,4714.0,1737.0,5890.0,1229.0,4168.0,,,2024-12-19,0,0.0
18,HONDA,CIC1,,,,STAM390G,P,Khong,19.1,0.0,1.4,5570.0,P/E,1014.0,3451.0,1199.0,4081.0,933.0,3175.0,900.0,3063.0,1115.0,3795.0,1125.0,3829.0,1078.0,3669.0,1148.0,3907.0,1118.0,3805.0,1391.0,4734.0,1008.0,3430.0,,,2024-12-19,0,0.0
19,HONDA,CIC1,K2SG,,,STAM390G,P,Khong,19.1,0.0,1.4,5820.0,P/E,,,31.0,110.0,15.0,53.0,16.0,57.0,27.0,96.0,35.0,124.0,31.0,110.0,31.0,110.0,35.0,124.0,39.0,139.0,31.0,110.0,,,2024-12-19,0,0.0
20,HONDA,CIC1,K2CA/K2SG,,,STAM390G,P,Khong,19.1,0.0,1.6,5680.0,P/E,,,50.0,196.0,25.0,98.0,25.0,98.0,44.0,172.0,56.0,219.0,50.0,196.0,50.0,196.0,56.0,219.0,63.0,247.0,50.0,196.0,,,2024-12-19,0,0.0
21,HONDA,CIC1,K1F,,,STAM390G,P,Khong,19.1,0.0,2.0,5460.0,P/E,1016.0,4676.0,899.0,4138.0,1299.0,5979.0,1022.0,4704.0,804.0,3701.0,774.0,3563.0,689.0,3171.0,589.0,2711.0,562.0,2587.0,613.0,2822.0,678.0,3121.0,,,2024-12-19,0,0.0
22,HONDA,CIC1,K1WF,,,STAM390G,P,Khong,19.1,0.0,2.0,5824.0,P/E,,,11.0,54.0,9.0,44.0,12.0,59.0,15.0,74.0,12.0,59.0,15.0,74.0,12.0,59.0,18.0,88.0,15.0,74.0,15.0,74.0,,,2024-12-19,0,0.0
23,HONDA,CIC1,,,,STAM390G,P,Khong,19.1,0.0,2.0,5900.0,P/E,,,12.0,60.0,34.0,169.0,,,,,,,,,,,,,,,,,,,2024-12-19,0,0.0
24,HONDA,CIC1,AT,,,STAM390G,P,Co,22.2,0.0,1.6,5900.0,P/E,,,6.0,29.0,5.0,24.0,,,,,,,,,,,,,,,,,,,2024-12-19,0,0.0
25,HONDA,CIC1,K2ZA/K3AA,,,STAM390G,P,Co,22.2,0.0,2.0,5340.0,P/E,,,116.0,617.0,58.0,308.0,59.0,314.0,102.0,543.0,130.0,691.0,116.0,617.0,116.0,617.0,130.0,691.0,145.0,771.0,116.0,617.0,,,2024-12-19,0,0.0
26,HONDA,CIC1,K12/K2TA/K2SG,,,STAM390G,P,Co,22.2,0.0,2.0,5360.0,P/E,1270.0,6780.0,2843.0,15178.0,2236.0,11937.0,2792.0,14905.0,2443.0,13042.0,2474.0,13208.0,2505.0,13373.0,2316.0,12364.0,2710.0,14467.0,2863.0,15284.0,2706.0,14446.0,,,2024-12-19,0,0.0
27,HONDA,CIC1,,,,STAM390G,P,Co,22.2,0.0,2.0,5362.0,P/E,,,18.0,96.0,15.0,80.0,20.0,107.0,25.0,134.0,20.0,107.0,25.0,134.0,20.0,107.0,30.0,160.0,25.0,134.0,25.0,134.0,,,2024-12-19,0,0.0
28,HONDA,CIC1,K2ZA/K3AA,,,STAM390G,P,Co,22.2,0.0,2.0,5630.0,P/E,,,1663.0,9325.0,1366.0,7660.0,1386.0,7772.0,1403.0,7867.0,1445.0,8103.0,1597.0,8955.0,1361.0,7632.0,1604.0,8994.0,1383.0,7755.0,329.0,1845.0,,,2024-12-19,0,0.0
29,OTHER,CIC1,YADEA,,,STAM390G,P,Co,22.2,0.0,2.0,5630.0,P/E,1651.0,9258.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0
30,HONDA,CIC1,K2ZA/K3AA,,,STAM390G,P,Khong,22.2,0.0,2.9,5740.0,P/E,364.0,2883.0,510.0,4040.0,418.0,3311.0,425.0,3367.0,430.0,3406.0,443.0,3509.0,489.0,3873.0,417.0,3303.0,492.0,3897.0,424.0,3359.0,101.0,800.0,,,2024-12-19,0,0.0
